index,frequency,average,std-dev,sample-1,sample-2,sample-3
1,1000.000,7.934333e-04,6.121440e-06,+7.94990000E-04,+7.85280000E-04,+8.00030000E-04
2,1057.357,7.901967e-04,4.951770e-06,+7.86000000E-04,+7.97150000E-04,+7.87440000E-04
3,1118.004,7.864167e-04,2.324238e-05,+7.54510000E-04,+7.95530000E-04,+8.09210000E-04
4,1182.129,8.044700e-04,1.795996e-06,+8.02550000E-04,+8.03990000E-04,+8.06870000E-04
5,1249.932,8.030333e-04,7.983635e-06,+8.09210000E-04,+7.91760000E-04,+8.08130000E-04
6,1321.625,8.068700e-04,7.361685e-06,+7.96970000E-04,+8.14610000E-04,+8.09030000E-04
7,1397.429,8.287600e-04,5.794273e-06,+8.22340000E-04,+8.27560000E-04,+8.36380000E-04
8,1477.581,8.421967e-04,1.132880e-05,+8.45920000E-04,+8.53830000E-04,+8.26840000E-04
9,1562.331,8.892200e-04,2.141588e-06,+8.86220000E-04,+8.91080000E-04,+8.90360000E-04
10,1651.941,9.337800e-04,4.724405e-07,+9.33360000E-04,+9.34440000E-04,+9.33540000E-04
11,1746.691,9.832000e-04,2.657668e-06,+9.82840000E-04,+9.80140000E-04,+9.86620000E-04
12,1846.876,1.093080e-03,5.566112e-06,+1.09098000E-03,+1.08756000E-03,+1.10070000E-03
13,1952.807,1.230130e-03,2.731154e-06,+1.22629000E-03,+1.23169000E-03,+1.23241000E-03
14,2064.814,1.410540e-03,2.419421e-06,+1.41216000E-03,+1.41234000E-03,+1.40712000E-03
15,2183.246,1.653570e-03,5.945149e-06,+1.64535000E-03,+1.65921000E-03,+1.65615000E-03
16,2308.470,1.981880e-03,4.031178e-06,+1.98758000E-03,+1.97894000E-03,+1.97912000E-03
17,2440.877,2.416470e-03,3.059412e-07,+2.41635000E-03,+2.41689000E-03,+2.41617000E-03
18,2580.878,2.958410e-03,1.671407e-06,+2.96009000E-03,+2.95613000E-03,+2.95901000E-03
19,2728.909,3.654783e-03,3.304546e-06,+3.65712000E-03,+3.65011000E-03,+3.65712000E-03
20,2885.431,4.546000e-03,8.858894e-07,+4.54612000E-03,+4.54486000E-03,+4.54702000E-03
21,3050.931,5.668820e-03,3.888444e-07,+5.66900000E-03,+5.66918000E-03,+5.66828000E-03
22,3225.923,7.087927e-03,2.207175e-06,+7.08511000E-03,+7.09050000E-03,+7.08817000E-03
23,3410.952,8.870953e-03,9.286669e-07,+8.87161000E-03,+8.86964000E-03,+8.87161000E-03
24,3606.593,1.110806e-02,5.161395e-07,+1.11080000E-02,+1.11087200E-02,+1.11074600E-02
25,3813.456,1.391450e-02,4.724405e-07,+1.39138400E-02,+1.39149200E-02,+1.39147400E-02
26,4032.185,1.743320e-02,8.047498e-07,+1.74320700E-02,+1.74338600E-02,+1.74336800E-02
27,4263.458,2.184003e-02,3.287431e-06,+2.18418900E-02,+2.18427900E-02,+2.18354100E-02
28,4507.997,2.735343e-02,3.059416e-07,+2.73537300E-02,+2.73535500E-02,+2.73530100E-02
29,4766.562,3.425257e-02,1.401998e-06,+3.42505900E-02,+3.42534700E-02,+3.42536500E-02
30,5039.957,4.287126e-02,5.564169e-07,+4.28704800E-02,+4.28717400E-02,+4.28715600E-02
31,5329.034,5.362610e-02,4.331146e-06,+5.36321500E-02,+5.36222600E-02,+5.36238800E-02
32,5634.691,6.704131e-02,2.006190e-06,+6.70401700E-02,+6.70441300E-02,+6.70396300E-02
33,5957.880,8.371880e-02,2.389314e-06,+8.37221500E-02,+8.37174800E-02,+8.37167600E-02
34,6299.605,1.044039e-01,1.219189e-06,+1.04404340E-01,+1.04405060E-01,+1.04402190E-01
35,6660.931,1.303706e-01,3.962403e-04,+1.30911500E-01,+1.30226800E-01,+1.29973400E-01
36,7042.982,1.610980e-01,8.357033e-06,+1.61109400E-01,+1.61095000E-01,+1.61089600E-01
37,7446.946,1.989104e-01,1.318644e-05,+1.98926600E-01,+1.98910400E-01,+1.98894300E-01
38,7874.080,2.438982e-01,5.091170e-06,+2.43891000E-01,+2.43901800E-01,+2.43901800E-01
39,8325.713,2.960940e-01,3.059414e-06,+2.96098200E-01,+2.96092800E-01,+2.96091000E-01
40,8803.250,3.544747e-01,2.022974e-05,+3.54502800E-01,+3.54465100E-01,+3.54456100E-01
41,9308.177,4.167229e-01,3.698645e-06,+4.16718100E-01,+4.16723500E-01,+4.16727100E-01
42,9842.066,4.791311e-01,2.196376e-05,+4.79158000E-01,+4.79104200E-01,+4.79131100E-01
43,10406.577,5.372735e-01,2.160283e-05,+5.37289700E-01,+5.37243000E-01,+5.37287900E-01
44,11003.466,5.873906e-01,3.664269e-05,+5.87380400E-01,+5.87351700E-01,+5.87439700E-01
45,11634.591,6.271659e-01,1.946901e-05,+6.27179700E-01,+6.27179700E-01,+6.27138400E-01
46,12301.915,6.564472e-01,1.412232e-05,+6.56450200E-01,+6.56462800E-01,+6.56428600E-01
47,13007.515,6.765141e-01,2.494813e-05,+6.76530800E-01,+6.76532600E-01,+6.76478800E-01
48,13753.587,6.891909e-01,7.636758e-06,+6.89196300E-01,+6.89180100E-01,+6.89196300E-01
49,14542.450,6.961854e-01,3.600012e-05,+6.96136900E-01,+6.96196100E-01,+6.96223100E-01
50,15376.560,6.986952e-01,1.032279e-05,+6.98708400E-01,+6.98683200E-01,+6.98694000E-01
51,16258.513,6.983056e-01,1.952440e-05,+6.98333100E-01,+6.98293600E-01,+6.98290000E-01
52,17191.051,6.940142e-01,2.712654e-05,+6.93989100E-01,+6.94001700E-01,+6.94051900E-01
53,18177.077,6.860548e-01,2.894838e-05,+6.86023100E-01,+6.86048300E-01,+6.86093100E-01
54,19219.658,6.735886e-01,7.541887e-06,+6.73578400E-01,+6.73591000E-01,+6.73596400E-01
55,20322.039,6.555162e-01,1.589717e-05,+6.55510800E-01,+6.55500000E-01,+6.55537800E-01
56,21487.649,6.303798e-01,2.130920e-05,+6.30381600E-01,+6.30352800E-01,+6.30404900E-01
57,22720.114,5.969406e-01,5.895957e-06,+5.96947200E-01,+5.96932900E-01,+5.96941800E-01
58,24023.270,5.546357e-01,1.905891e-05,+5.54650100E-01,+5.54648300E-01,+5.54608800E-01
59,25401.171,5.041772e-01,2.722944e-05,+5.04142500E-01,+5.04180200E-01,+5.04209000E-01
60,26858.104,4.477275e-01,1.469692e-06,+4.47727500E-01,+4.47725700E-01,+4.47729300E-01
61,28398.603,3.885615e-01,3.883815e-05,+3.88597500E-01,+3.88579500E-01,+3.88507600E-01
62,30027.460,3.305555e-01,9.562427e-06,+3.30544100E-01,+3.30554900E-01,+3.30567500E-01
63,31749.743,2.767987e-01,1.365577e-05,+2.76817900E-01,+2.76787300E-01,+2.76790900E-01
64,33570.810,2.286730e-01,1.697055e-06,+2.28671800E-01,+2.28675400E-01,+2.28671800E-01
65,35496.329,1.871476e-01,9.593864e-06,+1.87160100E-01,+1.87145800E-01,+1.87136800E-01
66,37532.289,1.521534e-01,9.785704e-06,+1.52147400E-01,+1.52145600E-01,+1.52167200E-01
67,39685.026,1.231591e-01,2.244994e-06,+1.23162100E-01,+1.23158500E-01,+1.23156700E-01
68,41961.238,9.954191e-02,2.884029e-06,+9.95396900E-02,+9.95400500E-02,+9.95459800E-02
69,44368.005,8.020352e-02,5.723641e-06,+8.02105300E-02,+8.01965100E-02,+8.02035200E-02
70,46912.818,6.457986e-02,9.785701e-07,+6.45808800E-02,+6.45785400E-02,+6.45801600E-02
71,49603.593,5.192475e-02,7.730606e-07,+5.19236800E-02,+5.19254700E-02,+5.19251100E-02
72,52448.703,4.172965e-02,1.977271e-06,+4.17269500E-02,+4.17303700E-02,+4.17316300E-02
73,55457.000,3.352829e-02,1.469706e-07,+3.35282900E-02,+3.35281100E-02,+3.35284700E-02
74,58637.843,2.693904e-02,1.083328e-06,+2.69385600E-02,+2.69380200E-02,+2.69405400E-02
75,62001.130,2.165914e-02,4.489987e-07,+2.16592600E-02,+2.16585400E-02,+2.16596200E-02
76,65557.324,1.740365e-02,5.939697e-07,+1.74043100E-02,+1.74028700E-02,+1.74037700E-02
77,69317.491,1.398976e-02,1.312563e-06,+1.39879100E-02,+1.39906000E-02,+1.39907800E-02
78,73293.330,1.124942e-02,9.785704e-07,+1.12508000E-02,+1.12486400E-02,+1.12488200E-02
79,77497.210,9.057060e-03,1.346997e-06,+9.05850000E-03,+9.05526000E-03,+9.05742000E-03
80,81942.212,7.295570e-03,5.091169e-07,+7.29593000E-03,+7.29485000E-03,+7.29593000E-03
81,86642.166,5.881503e-03,3.302487e-06,+5.87695000E-03,+5.88288000E-03,+5.88468000E-03
82,91611.695,4.756540e-03,1.042689e-06,+4.75678000E-03,+4.75516000E-03,+4.75768000E-03
83,96866.260,3.848953e-03,7.294109e-06,+3.85429000E-03,+3.85393000E-03,+3.83864000E-03
84,102422.211,3.134060e-03,5.461648e-06,+3.13478000E-03,+3.14036000E-03,+3.12704000E-03
85,108296.835,2.569990e-03,9.637427e-07,+2.56981000E-03,+2.57125000E-03,+2.56891000E-03
86,114508.409,2.118130e-03,3.747959e-06,+2.11819000E-03,+2.11351000E-03,+2.12269000E-03
87,121076.260,1.753720e-03,3.084023e-06,+1.75078000E-03,+1.75798000E-03,+1.75240000E-03
88,128020.823,1.464390e-03,6.827884e-06,+1.46199000E-03,+1.45749000E-03,+1.47369000E-03
89,135363.704,1.250213e-03,6.855860e-06,+1.25651000E-03,+1.24068000E-03,+1.25345000E-03
90,143127.751,1.107290e-03,3.698648e-07,+1.10771000E-03,+1.10735000E-03,+1.10681000E-03
91,151337.119,9.876933e-04,6.840791e-06,+9.87150000E-04,+9.96330000E-04,+9.79600000E-04
92,160017.352,9.246567e-04,2.143892e-05,+8.95030000E-04,+9.45050000E-04,+9.33890000E-04
93,169195.456,8.913700e-04,7.553330e-06,+8.92690000E-04,+8.81530000E-04,+8.99890000E-04
94,178899.988,8.599433e-04,1.685089e-05,+8.77220000E-04,+8.65520000E-04,+8.37090000E-04
95,189161.142,8.285167e-04,9.863469e-06,+8.19820000E-04,+8.42310000E-04,+8.23420000E-04
96,200010.845,8.185033e-04,1.232088e-05,+8.28100000E-04,+8.01110000E-04,+8.26300000E-04
97,211482.853,8.152033e-04,6.130157e-06,+8.06870000E-04,+8.21440000E-04,+8.17300000E-04
98,223612.860,8.021833e-04,9.588932e-06,+8.10100000E-04,+7.88690000E-04,+8.07760000E-04
99,236438.607,8.014067e-04,1.074953e-05,+8.16580000E-04,+7.93010000E-04,+7.94630000E-04
100,250000.000,7.825167e-04,1.778561e-05,+7.57390000E-04,+7.96070000E-04,+7.94090000E-04
